relationship_id	type	start_id	end_id	properties	file_name
9943	produce	62	4478	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": ""modified SGI medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	10.1002%2fbit.10867.yml
9944	produce	62	4478	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": ""modified SLI medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	10.1002%2fbit.10867.yml
9945	produce	62	4478	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": ""12 h"", ""medium"": ""modified SGI medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	10.1002%2fbit.10867.yml
9946	produce	62	4478	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": ""6 h"", ""medium"": ""modified SGI medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": ""casein hydrolysate"", ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	10.1002%2fbit.10867.yml
9947	catalysis	4478	620	"{""ph"": ""4.0-5.1"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": ""1 mM"", ""substrate"": null}"	10.1002%2fbit.10867.yml
9948	catalysis	4478	4361	"{""ph"": null, ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": ""0.1-3 mM"", ""substrate"": null}"	10.1002%2fbit.10867.yml
9949	produce	62	354	"{""temperature"": null, ""ph"": null, ""substrate"": ""xylose"", ""incubation_period"": null, ""medium"": ""whole-corn hydrolysate"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	10.1177%2f2211068215573188.yml
9950	produce	62	964	"{""temperature"": null, ""ph"": null, ""substrate"": ""xylose"", ""incubation_period"": null, ""medium"": ""whole-corn hydrolysate"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	10.1177%2f2211068215573188.yml
9951	catalysis	354	99	"{""ph"": null, ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": ""38%"", ""substrate"": null}"	10.1177%2f2211068215573188.yml
9952	catalysis	964	99	"{""ph"": null, ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": ""38%"", ""substrate"": null}"	10.1177%2f2211068215573188.yml
9953	produce	4479	741	"{""temperature"": null, ""ph"": null, ""substrate"": ""inulin"", ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""optimum"", ""quantitative_value"": null}"	szambelan-2004-use_of__i_zymomonas_mobilis__i_.yml
9954	produce	62	741	"{""temperature"": null, ""ph"": null, ""substrate"": ""inulin"", ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""optimum"", ""quantitative_value"": null}"	szambelan-2004-use_of__i_zymomonas_mobilis__i_.yml
9955	produce	1312	741	"{""temperature"": null, ""ph"": null, ""substrate"": ""inulin"", ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""optimum"", ""quantitative_value"": null}"	szambelan-2004-use_of__i_zymomonas_mobilis__i_.yml
9956	catalysis	741	460	"{""ph"": null, ""temperature"": ""fermentation temperature"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	szambelan-2004-use_of__i_zymomonas_mobilis__i_.yml
9957	produce	106	4480	"{""temperature"": null, ""ph"": ""4.5"", ""substrate"": ""glucose"", ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""optimum"", ""quantitative_value"": null}"	gao-2015-alternative_modes_of_biofilm_formatio.yml
9958	produce	106	4481	"{""temperature"": ""30°C"", ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": ""MSgg"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	gao-2015-alternative_modes_of_biofilm_formatio.yml
9959	produce	106	4482	"{""temperature"": ""30°C"", ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": ""MSgg"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	gao-2015-alternative_modes_of_biofilm_formatio.yml
9960	produce	106	4483	"{""temperature"": ""30°C"", ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": ""MSgg"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	gao-2015-alternative_modes_of_biofilm_formatio.yml
9961	catalysis	4480	4	"{""ph"": ""4.5"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	gao-2015-alternative_modes_of_biofilm_formatio.yml
9962	catalysis	4481	4	"{""ph"": null, ""temperature"": ""30°C"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	gao-2015-alternative_modes_of_biofilm_formatio.yml
9963	catalysis	4482	4	"{""ph"": null, ""temperature"": ""30°C"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	gao-2015-alternative_modes_of_biofilm_formatio.yml
9964	catalysis	4483	4	"{""ph"": null, ""temperature"": ""30°C"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	gao-2015-alternative_modes_of_biofilm_formatio.yml
9965	produce	62	3244	"{""temperature"": null, ""ph"": null, ""substrate"": ""maltotriose"", ""incubation_period"": null, ""medium"": ""synthetic medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	trichez-2019-key_amino_acid_residues_of_the__i.yml
9966	produce	62	3244	"{""temperature"": null, ""ph"": null, ""substrate"": ""maltotriose"", ""incubation_period"": null, ""medium"": ""synthetic medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""decrease"", ""quantitative_value"": null}"	trichez-2019-key_amino_acid_residues_of_the__i.yml
9967	catalysis	3244	795	"{""ph"": ""7.0"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	trichez-2019-key_amino_acid_residues_of_the__i.yml
9968	catalysis	3244	4484	"{""ph"": ""7.0"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""inhibit"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	trichez-2019-key_amino_acid_residues_of_the__i.yml
9969	catalysis	3244	335	"{""ph"": ""7.0"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	trichez-2019-key_amino_acid_residues_of_the__i.yml
9970	catalysis	3244	198	"{""ph"": ""7.0"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	trichez-2019-key_amino_acid_residues_of_the__i.yml
9971	catalysis	3244	4485	"{""ph"": ""7.0"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	trichez-2019-key_amino_acid_residues_of_the__i.yml
9972	produce	22	4486	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": ""LB medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	10.1007%2fs00253-002-1001-0.yml
9973	produce	22	4486	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": ""2 h"", ""medium"": ""LB medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	10.1007%2fs00253-002-1001-0.yml
9974	produce	22	4486	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": ""chemically defined medium"", ""moisture"": null, ""carbon_source"": ""glucose"", ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	10.1007%2fs00253-002-1001-0.yml
9975	catalysis	4486	4	"{""ph"": null, ""temperature"": ""controlled bioreactor conditions"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""maximum"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	10.1007%2fs00253-002-1001-0.yml
9976	produce	62	4487	"{""temperature"": ""30°C"", ""ph"": null, ""substrate"": null, ""incubation_period"": ""6 days"", ""medium"": ""minimal yeast synthetic drop-out medium"", ""moisture"": null, ""carbon_source"": ""fructose"", ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	10.1016%2fj.mec.2020.e00134.yml
9977	catalysis	4487	4488	"{""ph"": null, ""temperature"": ""30°C"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	10.1016%2fj.mec.2020.e00134.yml
9978	produce	22	4489	"{""temperature"": ""50°C"", ""ph"": ""8.0"", ""substrate"": ""glycerol"", ""incubation_period"": null, ""medium"": ""LB medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	fang-2021-genome-scale_target_identification_i.yml
9979	produce	22	313	"{""temperature"": ""50°C"", ""ph"": ""8.0"", ""substrate"": ""glycerol"", ""incubation_period"": null, ""medium"": ""LB medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	fang-2021-genome-scale_target_identification_i.yml
9980	produce	22	4490	"{""temperature"": ""50°C"", ""ph"": ""8.0"", ""substrate"": ""glutamate"", ""incubation_period"": null, ""medium"": ""LB medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""decrease"", ""quantitative_value"": null}"	fang-2021-genome-scale_target_identification_i.yml
9981	catalysis	4489	2689	"{""ph"": ""8.0"", ""temperature"": ""50°C"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	fang-2021-genome-scale_target_identification_i.yml
9982	catalysis	4490	209	"{""ph"": ""8.0"", ""temperature"": ""50°C"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""inhibit"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	fang-2021-genome-scale_target_identification_i.yml
9983	produce	62	1285	"{""temperature"": ""30°C"", ""ph"": ""5.5"", ""substrate"": null, ""incubation_period"": null, ""medium"": ""optimized YPD medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	tao-2024-metabolic_engineering_for_efficient_s.yml
9984	produce	62	4089	"{""temperature"": ""30°C"", ""ph"": ""5.5"", ""substrate"": null, ""incubation_period"": null, ""medium"": ""optimized YPD medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	tao-2024-metabolic_engineering_for_efficient_s.yml
9985	catalysis	1285	3201	"{""ph"": ""5.5"", ""temperature"": ""30°C"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	tao-2024-metabolic_engineering_for_efficient_s.yml
9986	catalysis	4089	340	"{""ph"": ""5.5"", ""temperature"": ""30°C"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	tao-2024-metabolic_engineering_for_efficient_s.yml
9987	produce	62	4491	"{""temperature"": ""12°C"", ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	angeles_morcill-2020-effect_of_several_nutrien.yml
9988	produce	62	4491	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": ""sugar"", ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""decrease"", ""quantitative_value"": ""20 g/L""}"	angeles_morcill-2020-effect_of_several_nutrien.yml
9989	produce	62	4491	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": ""100 mg N/L"", ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""decrease"", ""quantitative_value"": null}"	angeles_morcill-2020-effect_of_several_nutrien.yml
9990	produce	62	3259	"{""temperature"": ""50°C"", ""ph"": ""8.0"", ""substrate"": ""glucose"", ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	10.1038%2fs41929-019-0409-1.yml
9991	produce	4492	269	"{""temperature"": ""37°C"", ""ph"": ""7.0"", ""substrate"": ""medium-chain fatty acids"", ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""optimum"", ""quantitative_value"": null}"	10.1038%2fs41929-019-0409-1.yml
9992	catalysis	3259	271	"{""ph"": ""8.0"", ""temperature"": ""50°C"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	10.1038%2fs41929-019-0409-1.yml
9993	catalysis	269	271	"{""ph"": ""7.0"", ""temperature"": ""37°C"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""maximum"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	10.1038%2fs41929-019-0409-1.yml
9994	produce	3	172	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": ""3 days"", ""medium"": ""xylan-containing media"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	watanabe-2019-generation_of__i_trichoderma_ree.yml
9995	produce	3	226	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": ""3 days"", ""medium"": ""xylan-containing media"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	watanabe-2019-generation_of__i_trichoderma_ree.yml
9996	catalysis	172	177	"{""ph"": null, ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": ""D-xylose"", ""substrate"": null}"	watanabe-2019-generation_of__i_trichoderma_ree.yml
9997	catalysis	172	177	"{""ph"": null, ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": ""xylobiose"", ""substrate"": null}"	watanabe-2019-generation_of__i_trichoderma_ree.yml
9998	catalysis	533	114	"{""ph"": ""6.0"", ""temperature"": ""27°C"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""inhibit"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	omura-1984-phosalacine,_a_new_herbicidal_antib.yml
9999	produce	4493	4494	"{""temperature"": ""50°C"", ""ph"": ""8.0"", ""substrate"": ""phosphatidylcholine"", ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	schuck-2014-the__i_nicotiana_attenuata__i__gla.yml
10000	catalysis	4494	4495	"{""ph"": ""8.0"", ""temperature"": ""50°C"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	schuck-2014-the__i_nicotiana_attenuata__i__gla.yml
10001	produce	22	1424	"{""temperature"": null, ""ph"": null, ""substrate"": ""glucose"", ""incubation_period"": null, ""medium"": ""minimal salt medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""decrease"", ""quantitative_value"": null}"	skorokhodova-2021-optimization_of_the_anaerobi.yml
10002	produce	22	179	"{""temperature"": null, ""ph"": null, ""substrate"": ""glucose"", ""incubation_period"": null, ""medium"": ""minimal M9 medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	skorokhodova-2021-optimization_of_the_anaerobi.yml
10003	produce	22	331	"{""temperature"": null, ""ph"": null, ""substrate"": ""glucose"", ""incubation_period"": null, ""medium"": ""minimal M9 medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	skorokhodova-2021-optimization_of_the_anaerobi.yml
10004	catalysis	1424	4	"{""ph"": null, ""temperature"": ""anaerobic conditions"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""inhibit"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	skorokhodova-2021-optimization_of_the_anaerobi.yml
10005	catalysis	179	1014	"{""ph"": null, ""temperature"": ""anaerobic conditions"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	skorokhodova-2021-optimization_of_the_anaerobi.yml
10006	catalysis	331	1014	"{""ph"": null, ""temperature"": ""anaerobic conditions"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	skorokhodova-2021-optimization_of_the_anaerobi.yml
10007	produce	22	4496	"{""temperature"": ""30°C"", ""ph"": null, ""substrate"": null, ""incubation_period"": ""3 h"", ""medium"": ""2YT culture"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	10.1016%2fj.pep.2005.06.006.yml
10008	catalysis	4496	479	"{""ph"": ""7.0"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	10.1016%2fj.pep.2005.06.006.yml
10009	produce	3	4120	"{""temperature"": null, ""ph"": null, ""substrate"": ""cellulose"", ""incubation_period"": null, ""medium"": ""culture medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	tanghe-2015-recombinant_expression_of__i_trich.yml
10010	produce	1837	4497	"{""temperature"": null, ""ph"": null, ""substrate"": ""cellulose"", ""incubation_period"": null, ""medium"": ""culture medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	tanghe-2015-recombinant_expression_of__i_trich.yml
10011	catalysis	4120	21	"{""ph"": null, ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	tanghe-2015-recombinant_expression_of__i_trich.yml
10012	catalysis	4497	21	"{""ph"": null, ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	tanghe-2015-recombinant_expression_of__i_trich.yml
10013	produce	3	2	"{""temperature"": null, ""ph"": null, ""substrate"": ""glucose"", ""incubation_period"": null, ""medium"": ""minimal medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	carmen_limon-2011-the_effects_of_disruption_of.yml
10014	produce	3	2	"{""temperature"": null, ""ph"": null, ""substrate"": ""fructose and glucose"", ""incubation_period"": null, ""medium"": ""minimal medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	carmen_limon-2011-the_effects_of_disruption_of.yml
10015	produce	3	2	"{""temperature"": null, ""ph"": null, ""substrate"": ""lactose"", ""incubation_period"": null, ""medium"": ""minimal medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""decrease"", ""quantitative_value"": null}"	carmen_limon-2011-the_effects_of_disruption_of.yml
10016	catalysis	2	4	"{""ph"": null, ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	carmen_limon-2011-the_effects_of_disruption_of.yml
10017	catalysis	2	25	"{""ph"": null, ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""inhibit"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	carmen_limon-2011-the_effects_of_disruption_of.yml
10018	produce	62	1280	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": ""SD growth medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	alves-2015-exploring_the__i_saccharomyces_cere.yml
10019	produce	62	4498	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": ""SD growth medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	alves-2015-exploring_the__i_saccharomyces_cere.yml
10020	produce	62	4499	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": ""SD growth medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	alves-2015-exploring_the__i_saccharomyces_cere.yml
10021	produce	62	3801	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": ""SD growth medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	alves-2015-exploring_the__i_saccharomyces_cere.yml
10022	produce	62	1319	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": ""SD growth medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	alves-2015-exploring_the__i_saccharomyces_cere.yml
10023	produce	62	4500	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": ""SD growth medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	alves-2015-exploring_the__i_saccharomyces_cere.yml
10024	produce	62	4501	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": ""SD growth medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	alves-2015-exploring_the__i_saccharomyces_cere.yml
10025	produce	62	4502	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": ""SD growth medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	alves-2015-exploring_the__i_saccharomyces_cere.yml
10026	produce	62	4503	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": ""SD growth medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	alves-2015-exploring_the__i_saccharomyces_cere.yml
10027	produce	62	4504	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": ""SD growth medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	alves-2015-exploring_the__i_saccharomyces_cere.yml
